ngram,year,frequency
social justice,1911,2.1793319149310264e-07
social justice,1912,5.646205636367085e-07
social justice,1913,5.90443960390985e-07
social justice,1914,5.224488290878071e-07
social justice,1915,5.261399564915337e-07
social justice,1916,5.972963776912366e-07
social justice,1917,5.049969331594184e-07
social justice,1918,5.735333274969889e-07
social justice,1919,6.623872650379781e-07
social justice,1920,5.591028298113088e-07
social justice,1921,4.880811843577249e-07
social justice,1922,4.5987692942617286e-07
social justice,1923,4.594305949012778e-07
social justice,1924,4.744294983538566e-07
social justice,1925,4.4676079369310173e-07
social justice,1926,4.4896498252455785e-07
social justice,1927,5.873520763088891e-07
social justice,1928,4.657451881939778e-07
social justice,1929,5.135058245286928e-07
social justice,1930,6.681549962195277e-07
social justice,1931,6.724351919729088e-07
social justice,1932,7.931000141070399e-07
social justice,1933,9.913142093864735e-07
social justice,1934,1.1803304005297832e-06
social justice,1935,1.2151174360042205e-06
social justice,1936,1.2661671462410595e-06
social justice,1937,1.2059894061167142e-06
social justice,1938,1.2032481890855706e-06
social justice,1939,1.1309119827274117e-06
social justice,1940,1.0324832828700892e-06
social justice,1941,1.1353857871654327e-06
social justice,1942,1.0368388529968797e-06
social justice,1943,1.004434125206899e-06
social justice,1944,1.077854108189058e-06
social justice,1945,9.591360594640719e-07
social justice,1946,9.738621429278282e-07
social justice,1947,9.65109848038992e-07
social justice,1948,1.1168012861162424e-06
social justice,1949,1.0400301562185632e-06
social justice,1950,1.0946869224426337e-06
social justice,1951,1.0965817409669398e-06
social justice,1952,1.0114019914908567e-06
social justice,1953,1.092714342121326e-06
social justice,1954,9.757393399922876e-07
social justice,1955,1.052442144100496e-06
social justice,1956,1.0865830972761614e-06
social justice,1957,9.304514492214366e-07
social justice,1958,1.0350095180911012e-06
social justice,1959,1.054652784659993e-06
social justice,1960,1.2547978940347093e-06
social justice,1961,1.4899247844368801e-06
social justice,1962,1.5438461105077295e-06
social justice,1963,1.4965260106691858e-06
social justice,1964,1.6427007949459949e-06
social justice,1965,1.5820171483937884e-06
social justice,1966,1.6644459037706838e-06
social justice,1967,1.5415525922435336e-06
social justice,1968,1.6203715631490923e-06
social justice,1969,1.6818119092931738e-06
social justice,1970,1.8681629398997757e-06
social justice,1971,1.9306266949570272e-06
social justice,1972,1.985522658287664e-06
social justice,1973,1.9428548512223642e-06
social justice,1974,1.9283734218333848e-06
social justice,1975,1.7699236423140974e-06
social justice,1976,1.767544176800584e-06
